Name,Theme,Media Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,
Divyansh,Nostalgia,Cartoons,What is the name of Ben Tennyson's grandfather in Ben 10?,Carl,Phil,Joel,Max,Option D,2,
Divyansh,Nostalgia,Cartoons,What is the name of the gang's van in Scooby-Doo?,Phantom Van,Clue Cruiser,Mystery Machine,Ghost Wagon,Option C,2,
Divyansh,Nostalgia,Ads,"Which telecom ad popularized the line ""What an Idea, Sirji!""?",Airtel,BSNL,Reliance,Idea,Option D,2,
Divyansh,Nostalgia,Ads,"Which soft drink used the slogan ""Yeh Dil Maange More""?",Coca-Cola,Thums Up,Pepsi,Sprite,Option C,1,
Divyansh,Nostalgia,Ads,The ZooZoo ad characters were first launched during which cricket event? (vodafone),Champions Trophy 2006,World Cup 2011,IPL 2013,IPL 2009,Option D,4,
Divyansh,Nostalgia,Ads,Who composed the iconic Airtel signature tune?,Shankar Mahadevan,Pritam,Vishal-Shekhar,A. R. Rahman,Option D,1,
Divyansh,Nostalgia,Snacks,Milk Bikis is a biscuit brand from which company?,Sunfeast,Parle,Britannia,Priya Gold,Option C,2,
Divyansh,Nostalgia,Snacks,Little Hearts biscuits are made by which company?,ITC,Bisk Farm,Britannia,Parle,Option C,1,
Divyansh,Nostalgia,Snacks,What type of confectionery was Big Babol?,Bubble gum,Wafer bar,Jelly candy,Lollipop,Option A,2,
Divyansh,Nostalgia,Bollywood,What is the name of Munna Bhai's loyal sidekick? (MBBS),Bunty,Maqsood,Circuit,Lucky,Option C,2,
Divyansh,Nostalgia,Bollywood,"In Lagaan, what is the name of Bhuvan's village?",Sitabari,Rampur,Kheda,Champaner,Option D,3,
Divyansh,Nostalgia,Bollywood,What is the name of the cop played by Abhishek Bachchan in Dhoom?,Aryan Singh,Kabir Sharma,Ali Akbar,Jai Dixit,Option D,3,
Divyansh,Nostalgia,Bollywood,What is Shah Rukh Khan's coach character called in Chak De! India?,Vikram Khan,Kabir Ali,Kabir Khan,Sameer Khan,Option C,2,
Divyansh,Nostalgia,Bollywood,What nickname is given to the child in Bhootnath?,Lucky,Chintu,Golu,Banku,Option D,4,
